Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Origin,Food_Supply_Num,Flock_Size_Band,Flock_Size_Num,Flight_Distance_Category,Speed_Category,Altitude_Category,Temperature_Category,Wind_Speed_Category,Visibility_Category,Humidity_Category,Migration_Success_Num,Food_Flock_Interaction,Path,Migration_Behavior_Cluster,Cluster
Monarch Butterfly,Asia,Forest,Clear,Breeding,13.8896,162.2557,-33.2823,154.2367,3925.34,91.12,42.98,2388.81,2034.13,32.41,16.23,80.76,1018.96,4.8,Successful,20.06,7,8,2,1,No,1,High,Excellent,Yes,Lost Signal,Unsuccessful,No,,Eastern,3,Solo,1,Long,Moderate,Medium,Warm,Moderate,Poor,Very High,0,3,"13.89,162.26 -> -33.28,154.24",Balanced,0
Sandhill Crane,Europe,Wetland,Cloudy,Climate,38.8606,-79.6997,46.8761,-84.635,1923.68,26.32,89.93,2180.51,1442.79,5.57,48.26,56.25,1031.29,21.9,Successful,73.79,11,2,5,2,No,1,High,Excellent,No,,Successful,Yes,4.030533956019616,Eastern,3,Solo,1,Medium,High,Medium,Mild,High,Excellent,Moderate,1,3,"38.86,-79.7 -> 46.88,-84.64",High-Risk,2
Osprey,Asia,Forest,Windy,Shelter,2.4042,121.8962,-38.3633,-175.2144,1852.58,25.62,88.44,775.75,111.01,22.9,10.99,78.36,976.8,10.38,Unsuccessful,51.12,9,11,5,2,Yes,37,Low,Good,Yes,Storm,Unsuccessful,No,,Central,1,Large,37,Medium,High,Low,Warm,Low,Good,High,0,37,"2.4,121.9 -> -38.36,-175.21",Balanced,0
Ruby-throated Hummingbird,Asia,Forest,Windy,Food,4.1221,-149.5193,-7.2839,-154.3595,697.87,2.74,80.31,1969.67,1222.87,30.43,11.23,43.51,1014.72,12.25,Unsuccessful,84.35,12,2,6,4,No,1,Medium,Good,Yes,Lost Signal,Unsuccessful,No,,Northern,2,Solo,1,Short,High,Medium,Warm,Low,Good,Moderate,0,2,"4.12,-149.52 -> -7.28,-154.36",Balanced,0
Osprey,Asia,Forest,Cloudy,Seasonal,66.7184,99.3889,75.0,34.3155,2120.61,55.58,41.16,2510.8,2054.49,-0.93,17.19,46.68,1038.97,14.28,Successful,73.69,12,2,5,2,No,1,High,Poor,Yes,Injury,Unsuccessful,No,,Southern,3,Solo,1,Medium,Moderate,High,Cold,Moderate,Good,Moderate,0,3,"66.72,99.39 -> 75.0,34.32",Balanced,0
Ruby-throated Hummingbird,Asia,Mountain,Windy,Shelter,-34.3873,100.9199,-70.0,88.1712,1068.56,33.41,36.09,661.98,151.43,23.93,14.59,70.0,1023.28,11.56,Successful,75.94,1,4,3,4,No,1,Low,Good,Yes,Storm,Unsuccessful,No,,Western,1,Solo,1,Medium,Low,Low,Warm,Low,Good,High,0,1,"-34.39,100.92 -> -70.0,88.17",Balanced,0
Monarch Butterfly,Africa,Forest,Cloudy,Food,-5.3359,-81.2797,-9.6702,-91.3238,2171.8,43.1,50.72,1526.71,540.83,17.31,40.42,48.8,1041.84,12.78,Unsuccessful,38.68,3,7,6,2,Yes,25,Low,Excellent,Yes,Lost Signal,Unsuccessful,No,,Western,1,Large,25,Medium,Moderate,Medium,Mild,High,Good,Moderate,0,25,"-5.34,-81.28 -> -9.67,-91.32",High-Risk,2
Barn Swallow,Asia,Wetland,Windy,Seasonal,68.3706,22.9326,67.0137,-57.8052,1349.03,10.54,70.2,2193.51,1757.14,6.32,16.5,16.22,991.08,12.84,Unsuccessful,73.29,9,12,4,4,No,1,Low,Excellent,Yes,Storm,Unsuccessful,No,,Southern,1,Solo,1,Medium,High,Medium,Mild,Moderate,Good,Low,0,1,"68.37,22.93 -> 67.01,-57.81",Balanced,0
Ruby-throated Hummingbird,Africa,Grassland,Clear,Climate,-22.4307,-68.7913,-50.163,-70.9034,1136.41,37.24,69.73,1100.39,319.12,15.56,14.38,79.32,1015.99,15.23,Successful,100.0,2,3,2,3,Yes,20,Medium,Fair,No,,Successful,Yes,4.847744113659807,Central,2,Medium,20,Medium,Moderate,Medium,Mild,Low,Good,High,1,40,"-22.43,-68.79 -> -50.16,-70.9",Balanced,0
European Stork,Europe,Forest,Cloudy,Seasonal,-41.1283,-98.3893,-36.5793,-119.6782,1983.18,37.48,51.87,2458.57,2036.62,34.86,7.96,61.15,993.13,11.49,Unsuccessful,59.51,2,3,7,5,Yes,14,Low,Excellent,Yes,Injury,Unsuccessful,No,,Central,1,Medium,14,Medium,Moderate,Medium,Warm,Low,Good,Moderate,0,14,"-41.13,-98.39 -> -36.58,-119.68",High-Risk,2
Monarch Butterfly,South America,Grassland,Windy,Breeding,-17.9583,40.1999,-21.443,34.7777,1633.12,107.68,15.0,1249.0,340.52,1.2,33.7,76.18,996.38,11.59,Unsuccessful,54.06,2,5,1,2,No,1,Medium,Excellent,Yes,Food Shortage,Unsuccessful,No,,Western,2,Solo,1,Medium,Low,Medium,Cold,High,Good,High,0,2,"-17.96,40.2 -> -21.44,34.78",Balanced,0
Bar-headed Goose,South America,Coastal,Windy,Breeding,49.4843,76.6141,60.5387,81.8629,752.31,16.59,57.67,406.46,50.0,25.16,41.16,30.0,1019.94,10.23,Successful,85.32,1,3,5,4,No,1,Low,Excellent,Yes,Injury,Unsuccessful,No,,Western,1,Solo,1,Short,Moderate,Low,Warm,High,Good,Low,0,1,"49.48,76.61 -> 60.54,81.86",High-Risk,2
Barn Swallow,Asia,Wetland,Stormy,Breeding,69.4441,72.2876,68.522,64.5196,3448.68,126.87,27.1,2047.17,1039.23,8.47,23.59,70.08,1011.11,14.61,Unsuccessful,76.55,8,9,4,3,Yes,47,High,Good,No,,Successful,Yes,6.730233481587638,Eastern,3,Large,47,Long,Low,Medium,Mild,Moderate,Good,High,1,141,"69.44,72.29 -> 68.52,64.52",Flock-Oriented,1
Sandhill Crane,Europe,Grassland,Rainy,Food,22.8905,115.0817,14.0869,107.9331,1337.05,19.53,59.9,2489.19,2102.66,36.98,6.47,73.4,1010.06,16.61,Unsuccessful,74.44,4,7,3,2,Yes,22,High,Fair,Yes,Storm,Unsuccessful,No,,Eastern,3,Large,22,Medium,Moderate,Medium,Hot,Low,Good,High,0,66,"22.89,115.08 -> 14.09,107.93",Flock-Oriented,1
Ruby-throated Hummingbird,North America,Wetland,Windy,Climate,68.7016,73.1819,75.0,51.8302,2405.77,52.79,54.69,2718.83,2063.64,40.0,2.36,77.44,1035.9,13.49,Unsuccessful,73.75,12,2,4,3,No,1,High,Excellent,Yes,Lost Signal,Unsuccessful,No,,Eastern,3,Solo,1,Medium,Moderate,High,Hot,Low,Good,High,0,3,"68.7,73.18 -> 75.0,51.83",Balanced,0
Osprey,South America,Wetland,Stormy,Shelter,-32.7443,-39.9677,-9.8869,-23.5952,1405.09,31.45,36.56,2953.0,2610.15,10.39,43.54,43.53,1014.01,15.62,Successful,92.6,2,6,5,2,Yes,41,Low,Good,Yes,Predator,Unsuccessful,No,,Central,1,Large,41,Medium,Low,High,Mild,High,Good,Moderate,0,41,"-32.74,-39.97 -> -9.89,-23.6",High-Risk,2
European Stork,Africa,Wetland,Clear,Seasonal,23.6413,162.9283,48.4847,145.485,924.8,7.27,87.06,780.41,170.92,17.14,28.07,35.25,1033.72,9.05,Successful,66.2,6,10,5,1,Yes,10,High,Excellent,No,,Successful,Yes,4.109661198690462,Northern,3,Medium,10,Short,High,Low,Mild,Moderate,Low,Moderate,1,30,"23.64,162.93 -> 48.48,145.49",Balanced,0
Ruby-throated Hummingbird,Asia,Wetland,Cloudy,Food,19.0705,154.9841,29.8442,173.8729,1345.15,21.75,56.52,1792.13,981.06,25.14,8.01,60.25,1006.42,17.75,Successful,31.43,8,9,3,1,Yes,15,High,Fair,No,,Successful,Yes,5.638935673581022,Northern,3,Medium,15,Medium,Moderate,Medium,Warm,Low,Good,Moderate,1,45,"19.07,154.98 -> 29.84,173.87",Balanced,0
Monarch Butterfly,Asia,Forest,Rainy,Climate,-38.5631,-16.3448,-23.7757,-58.1798,2033.07,34.14,67.73,2559.52,2180.76,29.7,18.63,52.48,990.43,5.33,Successful,96.34,5,9,3,1,Yes,8,Medium,Good,No,,Successful,Yes,7.283094033130725,Eastern,2,Medium,8,Medium,Moderate,High,Warm,Moderate,Low,Moderate,1,16,"-38.56,-16.34 -> -23.78,-58.18",High-Altitude Fast,3
European Stork,North America,Mountain,Rainy,Food,21.9868,160.1921,10.1601,142.0554,5654.89,86.56,74.08,2232.88,1583.25,23.12,15.39,92.21,1016.84,12.98,Successful,74.2,9,1,5,0,Yes,41,High,Good,No,,Successful,Yes,5.429368117656928,Eastern,3,Large,41,Very Long,High,Medium,Warm,Moderate,Good,Very High,1,123,"21.99,160.19 -> 10.16,142.06",High-Altitude Fast,3
European Stork,North America,Mountain,Windy,Food,12.0495,164.2637,7.3238,177.6934,2617.49,58.51,41.28,1587.31,507.91,4.72,2.13,35.5,1025.69,12.06,Successful,65.35,11,2,3,1,No,1,Medium,Excellent,Yes,Food Shortage,Unsuccessful,No,,Northern,2,Solo,1,Long,Moderate,Medium,Cold,Low,Good,Moderate,0,2,"12.05,164.26 -> 7.32,177.69",Balanced,0
Barn Swallow,South America,Wetland,Cloudy,Seasonal,39.5404,82.8045,47.9737,40.0604,1111.73,20.54,59.75,2863.47,2499.65,9.74,3.07,62.32,1028.2,17.57,Successful,74.03,8,11,3,3,Yes,11,Low,Good,No,,Successful,Yes,3.956085523538814,Western,1,Medium,11,Medium,Moderate,High,Mild,Low,Good,Moderate,1,11,"39.54,82.8 -> 47.97,40.06",Balanced,0
Arctic Tern,Africa,Mountain,Clear,Breeding,48.8122,104.5663,53.2458,81.6302,650.85,13.86,29.13,2233.68,1779.15,19.29,14.37,74.32,1015.38,12.86,Successful,66.63,8,10,8,3,No,1,Medium,Fair,No,,Successful,Yes,9.708906963658567,Northern,2,Solo,1,Short,Low,Medium,Mild,Low,Good,High,1,2,"48.81,104.57 -> 53.25,81.63",Balanced,0
Monarch Butterfly,Europe,Coastal,Clear,Seasonal,-26.9919,-131.1945,-15.9987,-115.3151,1523.19,25.46,52.95,2599.92,2163.91,13.29,24.86,74.05,1019.6,11.84,Successful,60.31,7,9,10,3,Yes,22,Medium,Excellent,No,,Successful,Yes,4.561630726895507,Southern,2,Large,22,Medium,Moderate,High,Mild,Moderate,Good,High,1,44,"-26.99,-131.19 -> -16.0,-115.32",Flock-Oriented,1
Sandhill Crane,Asia,Grassland,Windy,Food,-41.2485,-78.1044,-15.2938,-108.0004,1546.14,37.73,42.02,963.05,63.12,18.71,21.99,32.8,980.11,12.44,Unsuccessful,84.19,12,1,4,3,No,1,High,Poor,Yes,Storm,Unsuccessful,No,,Eastern,3,Solo,1,Medium,Moderate,Low,Mild,Moderate,Good,Low,0,3,"-41.25,-78.1 -> -15.29,-108.0",Balanced,0
Arctic Tern,Europe,Coastal,Clear,Food,60.5459,-128.374,58.4592,-89.4794,2583.14,51.87,53.3,1550.57,526.11,6.62,8.08,40.72,1021.76,14.42,Successful,100.0,10,11,0,5,Yes,8,Medium,Poor,Yes,Predator,Unsuccessful,No,,Northern,2,Medium,8,Long,Moderate,Medium,Mild,Low,Good,Moderate,0,16,"60.55,-128.37 -> 58.46,-89.48",High-Risk,2
Ruby-throated Hummingbird,Europe,Grassland,Windy,Seasonal,37.5827,-117.9046,10.9425,-120.5105,3101.09,47.48,52.33,1343.13,429.6,8.87,35.26,68.19,1034.33,12.9,Unsuccessful,42.46,1,4,5,3,No,1,High,Excellent,No,,Successful,Yes,3.671808223030643,Western,3,Solo,1,Long,Moderate,Medium,Mild,High,Good,High,1,3,"37.58,-117.9 -> 10.94,-120.51",Balanced,0
Ruby-throated Hummingbird,Asia,Forest,Clear,Breeding,-9.7046,94.2546,-25.7427,80.4898,2119.26,45.95,40.79,1762.05,1063.04,6.77,26.15,46.85,1037.82,5.62,Successful,92.05,10,1,3,4,No,1,High,Good,No,,Successful,Yes,4.016923971769143,Eastern,3,Solo,1,Medium,Moderate,Medium,Mild,Moderate,Low,Moderate,1,3,"-9.7,94.25 -> -25.74,80.49",Balanced,0
Bar-headed Goose,Africa,Grassland,Cloudy,Food,12.0838,-100.4011,15.8346,-83.0063,2529.21,40.52,71.65,1576.47,1309.41,23.59,18.52,79.04,1011.41,9.19,Successful,83.69,2,3,6,3,No,1,Low,Good,No,,Successful,Yes,6.8800623892354515,Eastern,1,Solo,1,Long,High,Medium,Warm,Moderate,Low,High,1,1,"12.08,-100.4 -> 15.83,-83.01",Balanced,0
Osprey,Europe,Coastal,Windy,Seasonal,47.7995,-41.4829,41.0914,-42.1114,1343.74,27.16,64.11,2656.78,2140.59,25.07,19.5,94.72,991.96,16.92,Successful,71.76,11,1,4,4,Yes,33,Medium,Fair,No,,Successful,Yes,3.461545123994794,Eastern,2,Large,33,Medium,Moderate,High,Warm,Moderate,Good,Very High,1,66,"47.8,-41.48 -> 41.09,-42.11",Flock-Oriented,1
Barn Swallow,Europe,Coastal,Cloudy,Seasonal,-34.6659,-21.6009,-56.7702,-23.4198,2409.61,43.53,52.97,1347.76,962.31,18.1,12.57,50.02,1013.06,14.83,Successful,86.34,4,7,1,3,No,1,Medium,Excellent,No,,Successful,Yes,4.437348868462997,Western,2,Solo,1,Medium,Moderate,Medium,Mild,Low,Good,Moderate,1,2,"-34.67,-21.6 -> -56.77,-23.42",Balanced,0
Ruby-throated Hummingbird,Africa,Wetland,Windy,Shelter,-54.8372,-146.7508,-55.6064,-156.3953,1785.82,16.31,100.97,1645.04,1066.07,2.66,25.02,44.16,979.64,11.34,Successful,98.36,9,10,4,4,Yes,84,Low,Good,Yes,Food Shortage,Unsuccessful,No,,Western,1,Very Large,84,Medium,High,Medium,Cold,Moderate,Good,Moderate,0,84,"-54.84,-146.75 -> -55.61,-156.4",Balanced,0
Osprey,South America,Mountain,Clear,Climate,13.3015,122.8437,-0.0083,114.632,4510.83,127.77,34.68,2311.93,1761.02,20.49,19.78,81.58,1044.68,12.97,Successful,81.74,9,10,6,4,Yes,8,Medium,Excellent,No,,Successful,Yes,4.232569356695241,Western,2,Medium,8,Long,Low,Medium,Warm,Moderate,Good,Very High,1,16,"13.3,122.84 -> -0.01,114.63",Balanced,0
Bar-headed Goose,Africa,Forest,Cloudy,Climate,-43.3529,117.5407,-32.8103,77.8965,1700.3,62.17,32.39,975.11,50.0,17.32,18.06,78.43,1036.7,1.67,Successful,68.82,5,9,4,4,No,1,High,Excellent,No,,Successful,Yes,2.490829060038204,Southern,3,Solo,1,Medium,Low,Low,Mild,Moderate,Poor,High,1,3,"-43.35,117.54 -> -32.81,77.9",Balanced,0
Arctic Tern,Europe,Mountain,Rainy,Seasonal,65.2721,-163.4875,75.0,-143.8597,1353.63,22.79,81.35,1703.32,874.09,29.96,13.88,49.47,1018.15,14.85,Unsuccessful,31.92,12,2,1,1,Yes,92,Medium,Good,No,,Successful,Yes,7.719630919688248,Western,2,Very Large,92,Medium,High,Medium,Warm,Low,Good,Moderate,1,184,"65.27,-163.49 -> 75.0,-143.86",Flock-Oriented,1
Sandhill Crane,Africa,Forest,Windy,Seasonal,-29.5321,31.3402,-8.5206,7.2891,2289.04,43.39,71.42,1923.11,1055.49,17.45,32.32,44.05,996.83,16.43,Successful,86.77,7,9,5,5,Yes,15,Medium,Excellent,Yes,Food Shortage,Unsuccessful,No,,Northern,2,Medium,15,Medium,High,Medium,Mild,High,Good,Moderate,0,30,"-29.53,31.34 -> -8.52,7.29",High-Risk,2
European Stork,Europe,Wetland,Clear,Seasonal,37.0258,33.4954,20.3339,64.9306,3470.76,55.55,75.63,1518.94,443.84,8.81,12.84,38.21,1002.16,16.47,Unsuccessful,73.23,6,7,5,4,No,1,Low,Fair,Yes,Storm,Unsuccessful,No,,Northern,1,Solo,1,Long,High,Medium,Mild,Low,Good,Moderate,0,1,"37.03,33.5 -> 20.33,64.93",Balanced,0
Sandhill Crane,Asia,Mountain,Cloudy,Breeding,33.8845,42.536,22.6929,6.8528,2348.45,30.35,81.07,1482.79,757.58,18.7,30.99,100.0,1031.59,19.46,Unsuccessful,73.95,6,7,4,1,Yes,9,Medium,Excellent,No,,Successful,Yes,3.496574047930654,Central,2,Medium,9,Medium,High,Medium,Mild,High,Good,Very High,1,18,"33.88,42.54 -> 22.69,6.85",Balanced,0
Osprey,South America,Grassland,Rainy,Shelter,-34.2136,-82.0447,-61.9185,-44.0983,1905.18,24.32,80.13,1993.22,1117.26,12.44,2.77,84.98,1012.7,21.55,Successful,82.13,4,7,2,5,No,1,High,Excellent,No,,Successful,Yes,5.850214804931917,Northern,3,Solo,1,Medium,High,Medium,Mild,Low,Excellent,Very High,1,3,"-34.21,-82.04 -> -61.92,-44.1",High-Risk,2
Ruby-throated Hummingbird,Asia,Forest,Windy,Seasonal,-51.8201,-112.4926,-31.6575,-142.3283,1462.85,38.99,40.44,1231.57,932.75,12.79,24.29,61.68,1050.0,7.46,Successful,73.0,2,4,3,2,Yes,31,High,Good,No,,Successful,Yes,8.024536452746236,Northern,3,Large,31,Medium,Moderate,Medium,Mild,Moderate,Low,Moderate,1,93,"-51.82,-112.49 -> -31.66,-142.33",Flock-Oriented,1
Ruby-throated Hummingbird,South America,Wetland,Windy,Shelter,-26.2212,-140.5548,-23.7393,-117.7378,925.82,19.2,52.58,1961.59,1674.56,13.8,32.58,59.48,1018.05,21.05,Successful,53.18,12,2,1,4,Yes,43,High,Excellent,No,,Successful,Yes,5.589052485190599,Southern,3,Large,43,Short,Moderate,Medium,Mild,High,Excellent,Moderate,1,129,"-26.22,-140.55 -> -23.74,-117.74",Flock-Oriented,1
Barn Swallow,Asia,Wetland,Windy,Climate,12.6214,75.2295,41.3979,57.929,2876.75,48.19,67.88,1493.42,1080.91,14.8,7.28,67.34,994.42,13.72,Unsuccessful,85.64,10,11,3,1,Yes,16,Low,Fair,No,,Successful,Yes,6.257200501513358,Central,1,Medium,16,Long,Moderate,Medium,Mild,Low,Good,High,1,16,"12.62,75.23 -> 41.4,57.93",Balanced,0
Bar-headed Goose,Asia,Wetland,Cloudy,Climate,-39.2041,-2.6039,-28.2474,0.7175,2880.85,97.21,31.15,1960.35,1162.95,15.37,30.31,46.51,1017.59,10.57,Successful,60.04,10,2,7,3,Yes,6,High,Good,No,,Successful,Yes,4.078099946362607,Central,3,Medium,6,Long,Low,Medium,Mild,High,Good,Moderate,1,18,"-39.2,-2.6 -> -28.25,0.72",Balanced,0
European Stork,Europe,Mountain,Rainy,Shelter,62.5091,38.3427,54.4921,14.6794,470.89,19.75,42.47,2254.34,1742.75,13.72,12.68,21.0,1021.27,21.05,Successful,61.41,11,3,4,2,No,1,High,Good,No,,Successful,Yes,4.711671775799328,Western,3,Solo,1,Short,Moderate,Medium,Mild,Low,Excellent,Low,1,3,"62.51,38.34 -> 54.49,14.68",Balanced,0
European Stork,Europe,Wetland,Windy,Seasonal,42.8423,19.6035,10.8882,-10.8533,940.14,8.07,87.3,2091.15,1068.58,24.89,11.12,45.38,1005.11,24.25,Unsuccessful,76.23,8,10,2,1,No,1,Low,Fair,No,,Successful,Yes,2.9830709897080543,Northern,1,Solo,1,Short,High,Medium,Warm,Low,Excellent,Moderate,1,1,"42.84,19.6 -> 10.89,-10.85",Balanced,0
Arctic Tern,South America,Wetland,Windy,Seasonal,-26.9706,53.6873,-21.456,38.1249,2226.73,69.7,34.1,1622.35,1326.61,7.05,13.35,48.6,1033.84,19.16,Unsuccessful,100.0,12,1,1,3,Yes,22,High,Excellent,No,,Successful,Yes,4.317111043889598,Western,3,Large,22,Medium,Low,Medium,Mild,Low,Good,Moderate,1,66,"-26.97,53.69 -> -21.46,38.12",Flock-Oriented,1
Monarch Butterfly,Asia,Mountain,Windy,Shelter,-40.8683,69.8611,-2.9573,89.3215,1139.85,16.99,64.21,3352.07,2751.76,18.7,14.29,54.4,1034.13,12.68,Successful,70.99,12,4,1,0,No,1,Medium,Good,No,,Successful,Yes,4.251604898811093,Central,2,Solo,1,Medium,Moderate,High,Mild,Low,Good,Moderate,1,2,"-40.87,69.86 -> -2.96,89.32",Balanced,0
Barn Swallow,Europe,Mountain,Windy,Breeding,-46.5539,-98.041,-31.1936,-78.5997,2038.33,44.19,56.15,2161.1,1678.48,12.72,30.16,52.94,1017.71,11.07,Unsuccessful,66.63,3,6,5,6,Yes,55,Medium,Excellent,Yes,Lost Signal,Unsuccessful,No,,Southern,2,Very Large,55,Medium,Moderate,Medium,Mild,High,Good,Moderate,0,110,"-46.55,-98.04 -> -31.19,-78.6",Flock-Oriented,1
Osprey,Europe,Forest,Windy,Food,47.458,63.9104,45.1581,79.6682,869.8,3.64,63.41,1189.78,674.04,12.38,35.7,65.6,1009.43,10.68,Unsuccessful,46.61,6,10,4,4,No,1,Medium,Good,Yes,Lost Signal,Unsuccessful,No,,Southern,2,Solo,1,Short,Moderate,Medium,Mild,High,Good,High,0,2,"47.46,63.91 -> 45.16,79.67",Balanced,0
Osprey,North America,Coastal,Clear,Food,55.265,-76.1507,70.4529,-70.9276,947.8,34.88,32.77,2291.95,1429.17,25.81,15.65,43.88,1024.68,17.76,Unsuccessful,84.34,2,5,7,1,Yes,18,High,Poor,No,,Successful,Yes,2.946703095062933,Central,3,Medium,18,Short,Low,Medium,Warm,Moderate,Good,Moderate,1,54,"55.26,-76.15 -> 70.45,-70.93",Balanced,0
Sandhill Crane,North America,Grassland,Clear,Climate,10.7535,-160.584,23.9265,-91.4428,797.05,8.3,64.07,1569.04,898.42,25.42,48.52,72.29,1009.06,10.47,Unsuccessful,87.62,9,1,3,3,Yes,29,Low,Excellent,Yes,Injury,Unsuccessful,No,,Northern,1,Large,29,Short,Moderate,Medium,Warm,High,Good,High,0,29,"10.75,-160.58 -> 23.93,-91.44",High-Risk,2
Osprey,North America,Grassland,Windy,Shelter,15.5775,108.428,38.422,76.9562,1409.16,58.84,24.64,2186.67,1838.69,20.62,16.46,28.59,1019.77,17.75,Successful,70.89,2,3,5,4,Yes,10,High,Fair,No,,Successful,Yes,7.272485620043161,Central,3,Medium,10,Medium,Low,Medium,Warm,Moderate,Good,Low,1,30,"15.58,108.43 -> 38.42,76.96",Balanced,0
